abstract	class
abstract five mature ileorectal anastomosed blue foxes (6.18±0.15 kg) were used in digestibility experiments to evaluate the l-carnitine apparent ileal absorption from diets used in reproductive polar fox nutrition over the year-long farm-feeding period on two domestic farms (a and b) differing in reproduction results. the concentration of l-carnitine was higher in diets from farm b (136.1–241.7 mg kg−1 dm) than in the diets from farm a (88.5–135.2 mg kg−1 dm). the coefficients of ileal apparent absorption of l-carnitine ranged from 60.23 to 75.57% for diets a (farm a) composed mainly of fish and poultry offals. the coefficients of ileal apparent digestibility of l-carnitine were higher for diets b (farm b) (83.75–94.78%; p<0.05) based on beef offals. these data indicate high concentration and efficient ileal apparent absorption of l-carnitine from diets used in reproductive polar fox nutrition on both farms examined.	biology
the recombinant plasmid dpta1 has an insert of relic wheat dna that represents a family of tandemly organized dna sequences with a monomeric length of approximately bp. this insert was used to investigate the structural organization of this element in the genomes of species within the tribe triticeae and in species representing other tribes of the poaceae. the main characteristic of the genomic organization of dpta1 is a classical ladder-type pattern which is typical for tandemly organized sequences. the dpta1 sequence is present in all of the genomes of the triticeae species examined and in species from a closely related tribe (bromus inermis, bromeae). dna from hordelymus europaeus (triticeae) did not hybridize under the standard conditions used in this study. prolonged exposure was necessary to obtain a weak signal. our data suggest that the dpta1 family is quite old in evolutionary terms, probably more ancient than the tribe triticeae. the dpta1 sequence is more abundant in the d-genome of wheat than in other genomes in triticeae. dna from several species also have bands in addition to the tandem repeats. the dpta1 sequence contains short direct and inverted subrepeats and is homologous to a tandemly repeated dna sequence from hordeum chilense.	biology
leukotrienes (lts) are potent mediators of bronchial inflammation and are predominantly produced by myeloid cells. as myelocytic cells differentiate towards either eosinophils or neutrophils, the profile of leukotrienes they produce upon stimulation diverges. eosinophils produce mainly cysteinyl leukotrienes whereas neutrophils predominantly synthesize 5(s),12(r)-dihydroxy-6,8,10,14-eicosatetraenoic acid (ltb4). the mechanism by which this change in leukotriene composition occurs is unknown. in this study, we investigated the control of leukotriene biosynthetic enzymes during myeloid cell differentiation. western-blot analyses of myelocytic leukemia cell lines, hl-60#7 and hl-60, differentiated towards eosinophilic or neutrophilic cell types, respectively, demonstrated that as myelocytic cells differentiate towards eosinophils or neutrophils, the protein levels of cytosolic phospholipase a2 (cpla2) remain constant, whereas 5-lipoxygenase and 5-lipoxygenase-activating protein (flap) levels are simultaneously elevated. as myelocytic cells become more eosinophil-like, 5(s)-hydroxy-6(r)-s -glutathionyl-7,9-trans-11,14-cis-eicosatetraenoic acid (ltc4) synthase activity and expression of both the protein and messenger rna in the cells are dramatically increased (approximately 75-fold), while the ltc4 synthase level and activity in neutrophil-like cells remain constant at very low levels. in contrast, in neutrophilic cells, the amount of 5,6-oxido-7,9,11,14-eicosatetraenoic acid (lta4) hydrolase was elevated approximately 100-fold greater than the increase in lta4 hydrolase from eosinophilic cells. these results indicate that as a myeloid cell differentiates towards a granulocyte, similar mechanisms of regulation may be applied to the leukotriene biosynthetic pathway up to the point at which the pathway diverges. at the stage in the leukotriene biosynthetic pathway where lta4 may be converted to either ltc4 or to ltb4, specific regulators of transcription may become activated as a myelocytic cell differentiates, thereby causing increased lta4 hydrolase or ltc4 synthase expression.	biology
in wild and cultivated annual plant species, flowering time is an important life-history trait that coordinates the life cycle with local environmental conditions. extensive studies on the genetic basis of flowering time in the model species arabidopsis thaliana have revealed a complex genetic network that can detect environmental and internal signals. based on this knowledge and on known pleiotropic effects associated with flowering time genes, we suggest that a natural shift towards an early-flowering life cycle might involve only particular functional regions in a limited number of genes. our predictions are supported by genetic theories of adaptation and by recent data about genes associated with natural variation. we analyse the extent to which these predictions can also apply to crop species.	biology
after two-thirds hepatectomy, normally quiescent liver cells are stimulated to reenter the cell cycle and proliferate to restore the original liver mass. the level of bzip transcription factor ccaat enhancer-binding protein beta (c/ebpbeta) increases in the liver during the period of cell proliferation. the significance of this change in c/ebp expression is not understood. to determine the role of c/ebpbeta in the regenerating liver, we examined the regenerative response after partial hepatectomy in mice that contain a targeted disruption of the c/ebpbeta gene. posthepatectomy, hepatocyte dna synthesis was decreased to 25% of normal in c/ebpbeta -/- mice. the reduced regenerative response was associated with a prolonged period of hypoglycemia that was independent of expression of c/ebpalpha protein and gluconeogenic genes. c/ebpbeta -/- livers showed reduced expression of immediate-early growth-control genes including the egr-1 transcription factor, mitogen-activated protein kinase protein tyrosine phosphatase (mkp-1), and hrs, a delayed-early gene that encodes an mrna splicing protein. cyclin b and e gene expression were dramatically reduced in c/ebpbeta -/- livers whereas cyclin d1 expression was normal. the abnormalities in immediate-early gene expression in c/ebpbeta -/- livers were distinct from those seen in il-6 -/- livers. these data link c/ebpbeta to the activation of metabolic and growth response pathways in the regenerating liver and demonstrate that c/ebpbeta is required for a normal proliferative response.	biology
four species of biuterina fuhrmann, (cestoda, cyclophyllidea, paruterinidae), originally described from afrotropical passeriform birds, are redescribed and figured on the basis of their type-specimens. these are b. pentamyzos (mettrick, 1960) from prionops plumata (laniidae) in zimbabwe, b. quelea (mettrick, 1963) from quelea quelea (ploceidae) in zimbabwe, b. ugandae baylis, from chalcomitra senegalensis (nectariniidae) in uganda and b. zambiensis (mettrick, 1960) from campephaga flava (campephagidae) in zimbabwe. the rostellum of b. quelea is a spherical structure filled with strongly-developed glandular tissue and possessing a weak musculature. the remaining three species have a sucker-like rostellar apparatus with moderately developed glandular tissue in the rostellum and around it. it is considered that the glandular elements are an inherent part of the rostellar apparatus of the paruterinids. an armament consisting of fine, punctiform, spine-like structures arranged in transverse rows on the inner surface of suckers is observed in b. pentamyzos. this is the first record of sucker armature in the paruterinidae.	biology
chick embryo cells infected with an influenza a (fowl plague) virus have been labelled with (3h)-uridine for different lengths of time. virion rna and cellular rna have been separated by specific hybridization with a surplus of unlabelled viral complementary rna and rnase digestion. the ratio of the specific radioacticity in the ump and cmp moieties of both types of rna has been determined. since the rate of approach to equilibrium of cmp to ump labelling of both types of rna is completely different it is concluded that cellular and virion rna are synthesized using different pyrimidine nucleoside triphosphate pools.	biology
to evaluate mercury (hg) exposure and possible adverse effects of hg on american dipper (cinclus mexicanus) reproduction, we collected eggs and nestling feathers and the larval/nymph form of three orders of aquatic macroinvertebrates (ephemeroptera, plecoptera and trichoptera = ept) important in their diet from three major headwater tributaries of the upper willamette river, oregon in 2002. the coast fork willamette river is contaminated with hg due to historical cinnabar (hgs) mining at the black butte mine; the row river is affected by past gold-mining operations located within the bohemia mining district, where hg was used in the amalgamation process to recover gold; and the middle fork willamette river is the reference area with no known mining. methyl mercury (mehg) concentrations (geometric mean) in composite ept larvae (111.9 ng/g dry weight [dw] or 19.8 ng/g wet weight [ww]), dipper eggs (38.5 ng/g ww) and nestling feathers (1158 ng/g ww) collected from the coast fork willamette were significantly higher than mehg concentrations in ept and dipper samples from other streams. total mercury (thg) concentrations in surface sediments along the same hg-impacted streams were investigated by others in (row river tributaries) and (coast fork). the reported sediment thg concentrations paralleled our biological findings. dipper breeding territories at higher elevations had fewer second clutches; however, dipper reproductive success along all streams (including the lower elevation and most hg-contaminated coast fork), was judged excellent compared to other studies reviewed. furthermore, mehg concentrations in ept samples from this study were well below dietary concentrations in other aquatic bird species, such as loons and ducks, reported to cause hg-related reproductive problems. our data suggest that either dipper feathers or ept composites used to project mehg concentrations in dipper feathers (with biomagnification factor of 10–20×) may be used, but with caution, to screen headwater streams for potential hg-related effects on dippers. when actual feather concentrations or projected feather concentrations are equal to or lower than concentrations reported for the coast fork, dippers are expected to reproduce well (assuming adequate prey and suitable nest sites). when hg concentrations are substantially higher, more detailed investigations may be required. birds feeding almost exclusively on fish (e.g., osprey [pandion haliaetus]) and usually found further downstream from the headwaters would not be adequately represented by dippers given the higher mehg concentrations in fish resulting from biomagnification, compared to lower trophic level invertebrates.	biology
the bacterial cyclic nucleotide gated (bcng) ion channel family contains a n-terminal channel domain, which is homologous to the mechanosensitive channel of small conductance (mscs) and a ligand binding domain with sequence similarity to known cyclic nucleotide binding domains. previously, we have demonstrated that some of these channels gate in response to cyclic adenosine monophosphate alone [caldwell, et al, bba 1750-1756]. here we explore the ability of bcng channels to gate in response to mechanical stress, which one might predict based on their significant sequence homology to mscs. to this end, we measured the ability of fourteen distinct bcng channels from several different bacterial strains to rescue e. coli lacking mechanosensitive channels (mscs/mscl/msck null) from osmotic downshock. in our studies, only two bcng channels exhibit limited ability to rescue bacteria from osmotic downshock. these two channels were found in bacterial strains with genomes encoding for multiple variants of the bcng gene. only one bcng channel variant in each strain was capable of rescuing e.coli from osmotic downshock, implying that each gene product may have a unique role or that the two gene products may work in concert. additionally, truncation of the cyclic nucleotide binding domain in some non-mechanosensitive variants of bcng increases their response to mechanical stress.	biology
"retroviruses have evolved effective strategies to evade the host immune response, such as high variability and latent infection. in addition, primate lentiviruses, such as hiv-1, have acquired several «accessory» genes that antagonize antiviral host restriction factors and facilitate viral immune evasion, thereby allowing continuous and efficient viral replication despite apparently strong innate and acquired immune responses. here, i summarize some of our current knowledge on the function of the viral vpu and nef genes, with a particular focus on their capability to antagonize an antiviral factor named ""tetherin"" (bst-2) that tethers nascent virions at the cell surface. evidence will be presented that switches between nef- and vpu-mediated tetherin antagonism preceded the emergence of hiv-1. furthermore, it will be discussed why tetherin most likely poses a significant hurdle to cross-species transmissions of simian immunodeficiency viruses to humans. to our current knowledge only pandemic hiv-1 m (major) strains mastered this barrier perfectly by,,regaining"" efficient tetherin activity by vpu following the four independent cross-species transmissions that resulted in hiv-1 groups m, o, n, and p. this may potentially explain why hiv-1 m it is almost entirely responsible for the hiv/aids pandemic."	biology
abstract breeding experiments with rattus rattus indicate that the inheritance of resistance to the rodenticide warfarin has a multifactorial basis. in resistant × resistant and resistant × susceptible crosses between wild-caught rats, averages of and 17% respectively of the offspring were resistant. in f backcrosses to the susceptible, less than 1% were resistant. susceptible rats bred true. significant inter-family variation was observed in resistant crosses. the implications of the results for the development and containment of resistant populations in the field are discussed.	biology
bone morphogenetic protein-7 (bmp-7), a member of the transforming growth factor (tgf)-beta superfamily of signaling cytokines, induces dendritic growth in rat sympathetic neurons. in this study, we present evidence that the recently discovered integrative nuclear fgfr1 signaling (infs) pathway is involved in dendrite outgrowth mediated by bmp-7. immunocytochemical analysis of expressed fibroblast growth factors (fgfs) showed that little fgf-2 was detected in control neurons, but the expression of this molecule in the cytoplasm and nucleus increased within h after bmp-7 treatment. in contrast, fgf-1 was constitutively present in the peripheral cytoplasm and in neurites under control conditions, and its distribution did not change with bmp-7 exposure. the high-affinity receptor fgfr1 was present in low amounts in control neurons and was associated with the cytoplasm, the plasma membrane, and the nucleus. twenty-four hours of bmp-7 treatment elicited an increase in fgfr1 nuclear localization. overexpressed constructs of fgfr1 that lack the tyrosine kinase domain, and have been shown to act in a dominant-negative manner on fgfr1 signaling, inhibited bmp-7 mediated initial dendrite outgrowth in transfected neurons by approximately 50%. however, targeted inhibition of extracellular fgf-2 by overexpression of a secreted receptor mutant fgfr1(tm-) lacking the transmembrane domain failed to affect bmp-7 induced dendritic growth, as did treatment with the extracellular fgfr antagonist inositol hexakisphosphate. these results suggest that the infs, which has already been implicated in a broad range of activities in other cell types, may also be required for bmp-7 to stimulate dendritic development.	biology
abstract odour emanating from anaerobic lagoons and swine production facilities has increased the tension among rural neighbors and among urban and rural residents. storage of swine manure is associated with the production of a variety of odorous compounds, including ammonia, organic acids and alcohols, and sulphides. although the generation of these chemicals is the result of microbiological activity, little is known about the types of microorganisms responsible for their production. we have initiated an approach to determine and compare the bacterial populations present in both pig faeces and manure storage pits. total dna was isolated from both of these ecosystems. dna sequence analyses of pcr amplified 16s rdna genes derived from eubacterial sequences were carried out. similarity analyses of the 16s sequences indicated the presence of primarily low g + c gram-positive bacteria, such as clostridium sp., streptococcus sp., and lactobacillus sp. in both ecosystems. many of the sequences were from unidentified microorganisms. these results indicate that the primary eubacteria identified in swine faeces and manure pits are low g + c, gram-positive bacteria.	biology
a longitudinal study to identify the species of liriomyza leafminer, their distribution, relative abundance, and seasonal variation, including their host range, was conducted in vegetable fields at three altitudes in kenya from november to november 2012. three main species were identified: liriomyza huidobrensis (blanchard), liriomyza sativae blanchard, and liriomyza trifolii (burgess), of which l. huidobrensis was the most abundant across all altitudes irrespective of the cropping season and accounting for over 90% of the total liriomyza specimens collected. liriomyza species were collected from all infested incubated leaves of crops surveyed belonging to seven families: fabaceae, solanaceae, cucurbitaceae, malvaceae, brassicaceae, amaranthaceae, and amaryllidaceae. however, more than 87.5% of the liriomyza species were obtained from only four of these crops: pisum sativum l., phaseolus vulgaris l., solanum lycopersicum l., and solanum tuberosum, thereby demonstrating that fabaceae and solonaceae crops are the most important hosts with regard to liriomyza species richness and relative abundance. l. huidobrensis had the widest host range (20 crops), followed by l. sativae (18 crops) and l. trifolii (12 crops). although l. trifolii has been considered the dominant liriomyza leafminer in kenya, this study suggests that this may not be the case anymore, as l. huidobrensis dominates at all altitudes.	biology
abstractthe present work deals with hormonal regulation of growth and antheridial formation in male clones in three dioecious mosses, barbula gregaria (mitt.) jaeg., bryum coronatum schwaegr. and philonotis turneriana schwaegr. (mitt.). barbula and bryum develop antheridia in ordinary cultural conditions on basal medium, whereas philonotis remains sterile. of the three phytohormones tested, iaa increases antheridial production as well as the number of gametophores in bryum and barbula, but its effect on antheridial formation is more striking. ga3 enhances antheridial induction and vegetative growth in the three mosses. its effect on antheridial induction is more striking in philonotis than in barbula and bryum. kinetin is more effective in enhancing the number of gametophores than antheridial formation in barbula and bryum. the two animal sex hormones, progesterone and testosterone, enhance antheridial production as well as the formation of gametophores. except for ga3 none of the hormones tested induces ...	biology
dermatophytoses caused by the genus microsporum require a long-duration therapy compared to infections caused by other genera. treatment of these cutaneous infections includes topical and systemic antifungal agents. tinea capitis and tinea unguium caused by m. canis and m. gypseum are the most difficult-to-treat dermatophytoses. there are few specific studies about corresponding antifungal susceptibility in vitro. recently, the clinical and laboratory standards institute proposed the m38a document as standard to determine the minimum inhibitory concentrations (mics) of several antifungal agents against conidium-forming filamentous fungi; however, dermatophytes were not included in this document. this study aimed to contribute to continuing investigations concerning the optimal antifungal susceptibility testing conditions of microsporum spp. to terbinafine, ciclopiroxolamine and griseofulvin. the results pointed out potato dextrose agar as the best culture medium for inducing conidia sporulation, inoculum density amounting to x 10(3) conidia ml(-1), containing only microconidia, with an incubation time of days at degrees c and 100% growth inhibition serving as an endpoint. the minimum fungicidal concentration values were in accordance with the mics values, showing a fungicidal activity of these drugs towards the tested strains. according to our results, in general, terbinafine was more active than griseofulvin and ciclopiroxolamine.	biology
"we have shown previously that pigment epithelium-derived factor (pedf) acts as a survival factor for cerebellar granule cell neurons in culture, as well as protecting them against glutamate toxicity. in this study we have examined effects of pedf on apoptotic cell death. we find that the granule cells die of apoptosis throughout the culture period, what we have termed ""natural"" apoptosis. pedf prevents this natural apoptosis if added to immature cells, within the first days in vitro (div), and the effect is maintained for up to div12. however, pedf has no effect if added to mature cells at div5. similar results are obtained when apoptosis is induced by shifting the cells from a serum- and mm kcl-containing medium to serum-free medium with mm kcl. pedf most effectively blocks induced apoptosis in immature cells (div2) when added hr prior to the change of medium, but still provides some protection when added simultaneously. however, hr pretreatment with pedf has a minimal effect when apoptosis is induced in mature div6 cells; addition at the same time is completely ineffective. two polypeptide fragments of pedf, only one of which contains the serine-protease inhibitory site, are equally active, supporting previous results which suggest that the neurotrophic effects of pedf are not mediated by protease inhibition. we conclude that pedf protects immature but not mature granule cells against both natural and induced apoptosis."	biology
a new isolate of rice tungro bacilliform virus (rtbv) was collected from chinsura, west bengal, india. the full genome was sequenced and deposited to genbank designating the new one as chinsura isolate. the four open reading frames (orfs) of the new isolate were compared with those of previously reported ‘south-east asian’ (sea) and ‘south asian’ (sa) isolates emphasizing the orf3, which is the largest and functionally most important gene of rtbv. in the orfs, chinsura isolate shared 90.0–100.0% identity at amino acid level with sa isolates, but only 58.76–88.63% identity with sea isolates for the same. similarly, the amino acid identity of orfs between sea and sa isolates ranged from 58.77 to 88.64, whereas within each group the corresponding value was >96.0%. the phylogenetic analysis based on nucleotide and amino acid sequences of each orf made two broad clusters of sea- and sa-types including chinsura isolate within sa cluster. moreover, the relative positions and length of functional domains corresponding to movement protein (mp), coat protein (cp), aspartate protease (pr) and reverse transcriptase/ribonuclease h (rt/rnase h) of orf3 of chinsura isolate were completely identical with sa isolates. the clustering pattern indicated strong influence of geographical habitat on genomic evolution. comparison of orf3 among all the isolates revealed major variations at non-functional regions in between the functional domains and at the hypervariable 3′-terminal end of orf3, while pr appeared to have evolved differentially in sa isolates expecting further characterization.	biology
the phragmoplast is a special apparatus that functions in establishing a cell plate in dividing plant cells. it is known that microfilaments (mfs) are involved in constituting phragmoplast structure, but the dynamic distribution and role of phragmoplast mfs are far from being understood. in this study, the precise structure and dynamics of mfs during the initiation and the late lateral expansion of the phragmoplast were observed by using a tobacco by-2 cell line stably expressing the microfilament reporter construct gfp-fabd2. three-dimensional imaging showed that the phragmoplast mfs were initiated by two populations of mfs emerging between the reconstituting daughter nuclei at anaphase, which migrated to the mid-zone and gave rise to two layers of microfilament arrays. fm4-64 stained vesicles accumulated and fused with the cell plate between the two populations of mfs. the two layers of microfilament arrays of phragmoplast with ends overlapped always surrounded the centrifugally expanding cell plate. partial disruption of mfs at metaphase by low concentration of latrunculin b resulted in the inhibition of the cell plate consolidation and the blockage of cell plate lateral expansion, whereas high concentration of latrunculin b restrained the progression of the cell cycle. treating the cell after the initiation of phragmoplast led to the cease of the expansion of the cell plate. our observations provide new insights into the precise structure and dynamics of phragmoplast mfs during cytokinesis and suggest that dynamic phragmoplast mfs are important in cell plate formation.	biology
the enteric nervous system (ens) has been explored by developmental neurobiologists and medical researchers for decades. whereas developmental biologists have been unravelling the molecular mechanisms underlying the migration, proliferation and differentiation of the neural crest derivatives that give rise to the ens, human geneticists have been uncovering the genetic basis for diseases of the ens, notably hirschsprung's disease. here we discuss the exciting recent advances, including novel transgenic and genetic tools, a broadening range of model organisms, and the pursuit of ens stem cells as a therapeutic tool, that are bringing these fields closer together.	biology
in this work, we evaluated the capacity of a fungal transfer rna (f-trna) from aspergillus niger to protect hep-2 cells against a viral infection, and as an inducer of ifn-beta synthesis. hep-2 cells previously incubated with f-trna, polyi:polyc, or ifn-alpha, at different concentrations for h were infected with pfu of adenovirus type (adv-6); after days, we determined cellular viability, cytopathic effect of the virus, optimal concentration necessary to inhibit the cytopathic effect, and ifn-beta expression by rt-pcr. results showed that hep-2 cells treated with f-trna were less susceptible to the cytopathic effect of adv-6 infection than those incubated with polyi:polyc (p < 0.05). on the other hand, f-trna- treated hep-2 cells expressed ifn-beta mrna, whereas monolayers incubated with polyi:polyc or ifn-alpha did not. our results suggest that f-trna protected hep-2 cells against adv-6 infection, due to its capacity to induce ifn-beta synthesis.	biology
repair of dna double-strand breaks by homologous recombination requires an extensive set of proteins. among these proteins are rad51 and mre11, which are known to re-localize to sites of dna damage into nuclear foci. ionizing radiation-induced foci can be visualized by immuno-staining. published data show a large variation in the number of foci-positive cells and number of foci per nucleus for specific dna repair proteins. the experiments described here demonstrate that the time after induction of dna damage influenced not only the number of foci-positive cells, but also the size of the individual foci. the dose of ionizing radiation influenced both the number of foci-positive cells and the number of foci per nucleus. furthermore, ionizing radiation-induced foci formation depended on the cell cycle stage of the cells and the protein of interest that was investigated. rad51 and mre11 foci seemed to be mutually exclusive, though a small subset of cells did show co-localization of these proteins, which suggests a possible cooperation between the proteins at a specific moment during dna repair.	biology
long interspersed nuclear elements (l1 elements or line1) are the most active autonomous retrotransposons in mammalian genomes. in addition to l1 elements themselves, other protein-coding mrnas can also be reverse transcribed and integrated into the genome through the l1-mediated retrotransposition, leading to the formation of processed pseudogenes (pps) and retrogenes, both of which are characterized by the lack of introns and the presence of a 3' polya tract and flanking direct repeats. pps are unable to encode a functional protein and have accumulated frameshift mutations and premature stop codons during evolution. a few of pps are transcriptionally active. retrogenes preserve undisrupted coding frames and are capable of encoding a functional protein that is identical or nearly identical to that of the progenitor gene. there is a significant excess of retrogenes that originate from the x chromosome and are retrotransposed into autosomes, and most of these retrogenes are specially expressed in male germ cells, suggesting the inactivation of x-linked genes during male meiosis provides a strong selection pressure on retrogenes originating from the x chromosome.	biology
the effect of a lack of the gene encoding monoamine oxidase a (mao a) in transgenic tg8 mice on the activity of tryptophan hydroxylase (tph), the rate-limiting enzyme in serotonin (5-ht) biosynthesis, and on the levels of 5-ht and 5-hydroxyindoleacetic acid (5-hiaa) in the midbrain, hypothalamus, hippocampus, striatum, amygdala, and frontal cortex was studied. it was shown that mice with a genetic mao a knockout differed from mice of the initial c3h/hej strain in having a higher level of 5-ht and a lower level of its metabolite, 5-hiaa, in all brain regions but the frontal cortex, where the changes were insignificant. although the 5-hiaa/5-ht ratio in various brain regions differed considerably, the decrease of the 5-ht oxidative deamination index in tg8 mice was similar in different brain regions (to 41-45% of control values), with the exception of the frontal cortex, where the decrease of the 5-hiaa/5-ht was somewhat smaller (to 54%). the presence of the remaining 45% +/- 1.9% of the control ratio value indicates rather effective oxidative deamination of 5-ht in mao a knockout mice and explains the lack of severe behavioral and pathological consequences in mao a genetic deficiency. an increase of tph activity in mice lacking mao a was found in the frontal cortex, hippocampus, and amygdala. no significant changes were found in the striatum, hypothalamus, and midbrain. the data show an effect of the mao a gene mutation on tph and indicate a uniform decrease of 5-ht catabolism in different brain regions except for the frontal cortex, which is somewhat more resistant to the lack of mao a than other brain structures.	biology
the aim of this study was to investigate causes of the short estrous cycles that occur frequently in dairy cows after estrus synchronization using pgf2α and gnrh. expression of oxytocin receptor (or), progesterone receptor (pr), and estrogen receptor (er); of cyclo-oxygenase ii (cox-ii) and 20α-hydroxysteroid dehydrogenase (20α-hsd); and of peripheral blood estradiol-17s and progesterone (p4) concentrations were analyzed in estrous cycles of normal length and in induced short estrous cycles. on day (ovulation = day 0), presynchronized dairy cows (n = 14) were given 0.15 mg of dexcloprostenol and 0.1 mg of gonadorelin hours later. animals were bled once daily for p4 and estradiol-17s analyses, and endometrial biopsy specimens were taken on days and for pr, er, or, 20α-hsd, and cox-ii determinations with immunohistochemistry and/or real-time quantitative reverse transcriptase-polymerase chain reaction (qrt-pcr). ovulations and ovarian structures were monitored with transrectal ultrasound daily until the next ovulation. after excluding one case of incomplete luteal regression, short estrous cycles occurred in of cases (length from to days). no differences were established in endometrial er, pr, or cox-ii expression between the normal and short cycle groups in the semi-quantitative immunohistochemistry analysis. in qrt-pcr analysis, no differences were found in relative gene expression of endometrial er, pr, or, 20α-hsd, or cox-ii between normal and short cycles. despite evidence from previous studies that short estrous cycles are induced by premature prostaglandin release, differences in these receptors or in enzyme expression do not explain the release.	biology
summary the inconsistency in lotka's stable population model (two different intrinsic growth rates for the two sexes) arises from the fact that he considers two equations (for male and female births), and not because his equation for one sex does not involve the other. many authors in the past have erroneously put emphasis on the latter point and modified lotka's equations for male and female births. since sex ratio at birth is constant, two independent equations for male and female births cannot exist. the correct approach is to attempt to form an equation for all births. the author followed this approach in his earlier works on the problem, but his birth functions were formulated from axiomatic considerations. the present paper provides a new birth function which has an intuitively appealing physical interpretation, and for which the interaction between the sexes is empirically determined from the data.	biology
during ovarian maturation in the crayfish cherax quadricarinatus, changes in ovarian protein kinase c (pkc) isoenzymes take place in parallel to yolk accumulation (as shown by immunoblot analysis). significant changes were recorded in the amounts of specific isoenzymes and in their distribution between the cytosol and the membranes. ovarian maturation was accompanied by the appearance of high- and low-molecular-weight immunoreactive pkc isoenzyme species. among the isoenzymes tested, pkc a was the most clearly activated during ovarian maturation, as shown by significant translocation from the cytosol to the particulate fraction and the appearance of high-molecular-weight species. moreover, a similar picture was obtained in the ovaries of intersex individuals upon induction of secondary vitellogenesis by androgenic gland ablation. immunohistological staining showed pkc a to be localized mainly in the cytosol of premature oocytes, whereas in later maturation stages, it was concentrated around the nucleus in a vesicular structure and in the oocyte membrane. in secondary vitellogenic stages, pkc was localized in the plasma membrane and apparently in follicular cells. in addition, its activity was demonstrated by in vitro phosphorylation assays of a crayfish ovarian homogenate. activation of total pkc phosphorylation of histone, an external substrate, was induced by phosphatidylserine plus 12-o-tetradecanoylphorbol-13-acetate (tpa) or methyl farnesoate. both tpa and methyl farnesoate stimulated activation of pkc a in organ culture, causing its translocation from the cytosol to the membranes and inducing autophosphorylation of threonine residues. the changes in pkc isoenzymes during ovarian maturation in the crayfish suggest their involvement in this process as well as a possible regulatory role for methyl farnesoate through a direct effect on some pkc isoenzymes. © academic press	biology
a study of the development of the sense organs of the larva of botryllus schlosseri to determine, if possible, any homologies between its sense organs and those of other types of ascidians such as molgula and ammaroucium, which have sense organs structurally very different. the statolith appears in the botryllus embryo as a single club-shaped cell. the lightsensitive organs have their primordia slightly later as five small filaments, each developed from a ganglion cell. a cavity appears in the statolith into which the light-sensitive filaments penetrate. later development is concerned with pigmentation of the statolith, and a twisting process which orients it into the position in which it is found in the free-swimming larva. the three tactile papillae develop from evaginations of ectoderm at the anterior end of the embryo. the ectodermal cells at the center of a papilla are differentiated into rod-shaped sensory receptors and ganglion-like masses of nerve tissue. nervous connections are established between these peripheral ganglia and the central nervous system. results of the investigation indicate that the statoliths of the different ascidian larvae are homologous; the direction eyes probably are not, but have evolved independently from a light-sensitive area in the primitive larva of a common ancestral ascidian. the larvae of molgula and ammaroucium possess no structures comparable to the sensory papillae of botryllus.	biology
the physiological decline that occurs with aging is thought to result, in part, from accumulation of oxidative damage produced by reactive oxygen species (ros) generated during normal metabolism. two genetic mouse models of aging, the ames dwarf and growth hormone (gh) transgenic, suggest that hormone levels may play a role in antioxidative defense and aging. to explore this possibility, catalase (cat), an enzyme involved in elimination of ros, was evaluated in long-lived dwarf and short-lived transgenic mice. catalase activity and/or protein was significantly elevated in livers from dwarf mice at 13-15, and months of age when compared to age-matched wild type mice. in contrast, a and 38% reduction (p < 0.05) in cat protein was observed in and to month old gh transgenics respectively, when compared to wild type mice. kidneys from old dwarf mice exhibited significantly increased cat activity (22%), protein (16%) and mrna expression (59%) compared to wild type mice. conversely, kidneys from gh transgenic mice showed reductions in cat activity. the results of this study suggest that hormonal status modulates antioxidative mechanisms and that cat is important in overall defense capacity with respect to lifespan in both decelerated (dwarf) and accelerated (transgenic) mammalian models of aging.	biology
abstract experiments were carried out to evaluate two systems: (1) premunition and (2) chemoprophylaxis for the control of bovine babesiosis and anaplasmosis in the cauca river valley, colombia. control of these diseases was achieved by inoculating cattle with virulent babesia bigemina, babesia argentina , and anaplasma marginale and subsequent treatment with imidocarb and gloxazone to moderate the postpremunition reactions. chemoprophylactic treatment with imidocarb and gloxazone was administered to cattle before and during field exposure. premunized cattle were highly resistant to tick-borne ( boophilus microplus ) challenge. imidocarb had therapeutic and chemoprophylactic properties against babesiosis, but appeared toxic. gloxazone moderated the a. marginale postpremunition reaction, but failed to prevent clinical anaplasmosis under the conditions of this investigation.	biology
the association of class i and ii hla antigens with rheumatic fever and its manifestations was examined in patients, including blacks and caucasians. no significant association was found between class i antigens and rheumatic fever. in contrast, hla-dr2 and hla-dr4 phenotypes were encountered in a significantly higher frequency in black and caucasian patients with rheumatic fever, respectively, compared with the control populations (p less than 0.005). the most significant association (p less than 0.005) of these dr antigens with a major manifestation of rheumatic fever was found for mitral insufficiency. in addition, a significant association was encountered between persistent elevation of antibody to the group a streptococcal carbohydrate and hla-dr4 in caucasian patients (p less than 0.04) or hla-dr2 in the black patients (p less than 0.001). the frequency of hla-dr2/4 heterozygotes among patients with rheumatic fever did not differ significantly from controls. these findings support the concept of a genetically determined susceptibility to rheumatic fever and, particularly, to rheumatic heart disease. the association of the clinical manifestations of rheumatic fever and the immune hyperresponsiveness to a streptococcal antigen could be ascribed to a disease-associated immune-response gene which is in linkage disequilibrium with the dr2 and dr4 alleles of hla-dr locus on chromosome six.	biology
